event_id,date,time,region,lat,lon,vessel_name,mmsi,imo,ship_type,event_type,risk_score,triggered_rules,nearest_infrastructure,distance_km,sources,confidence,notes
NBGM-20260715-0305,2026-07-15,17:21:10+00:00,Other Baltic,59.327218,18.08847,Unknown,265522460,,unknown,identity_change,3,"[{""rule_id"": ""ais_gap_6h"", ""points"": 2, ""evidence"": ""AIS reporting gap of 11.6 hours""}, {""rule_id"": ""identity_change"", ""points"": 3, ""evidence"": ""Identity field changed compared with stored AIS position""}]",EMODnet pipeline pipelines.3613,127.9,digitraffic,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0402,2026-07-15,17:18:17+00:00,Gulf of Finland,60.472855,28.053998,MELITO CARRIER,273257120,8920581,tanker,pipeline_proximity,5,"[{""rule_id"": ""infra_proximity_1km"", ""points"": 3, ""evidence"": ""0.8 km from pipeline NORD STREAM 1""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",NORD STREAM 1,0.8,digitraffic,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0403,2026-07-15,17:18:17+00:00,Gulf of Finland,60.472855,28.053998,MELITO CARRIER,273257120,8920581,tanker,sensitive_area_repeat_presence,5,"[{""rule_id"": ""infra_proximity_1km"", ""points"": 3, ""evidence"": ""0.8 km from pipeline NORD STREAM 1""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",NORD STREAM 1,0.8,digitraffic,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0563,2026-07-15,17:16:44+00:00,Svalbard Approaches,78.928193,11.936342,MUNIN,982575641,,unknown,identity_change,2,"[{""rule_id"": ""identity_change"", ""points"": 3, ""evidence"": ""Identity field changed compared with stored AIS position""}]",Snøhvit Gassrør,857.2,barentswatch,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0451,2026-07-15,17:05:53+00:00,Barents Sea North,70.197357,21.817605,KVITNES,257599800,,cargo,cable_proximity,7,"[{""rule_id"": ""infra_proximity_10km"", ""points"": 1, ""evidence"": ""5.2 km from cable EMODnet cable pcablesnve.892""}, {""rule_id"": ""ais_gap_18h"", ""points"": 4, ""evidence"": ""AIS reporting gap of 21.8 hours""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",EMODnet cable pcablesnve.892,5.2,barentswatch,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0452,2026-07-15,17:05:53+00:00,Barents Sea North,70.197357,21.817605,KVITNES,257599800,,cargo,ais_gap,7,"[{""rule_id"": ""infra_proximity_10km"", ""points"": 1, ""evidence"": ""5.2 km from cable EMODnet cable pcablesnve.892""}, {""rule_id"": ""ais_gap_18h"", ""points"": 4, ""evidence"": ""AIS reporting gap of 21.8 hours""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",EMODnet cable pcablesnve.892,5.2,barentswatch,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0453,2026-07-15,17:05:53+00:00,Barents Sea North,70.197357,21.817605,KVITNES,257599800,,cargo,sensitive_area_repeat_presence,7,"[{""rule_id"": ""infra_proximity_10km"", ""points"": 1, ""evidence"": ""5.2 km from cable EMODnet cable pcablesnve.892""}, {""rule_id"": ""ais_gap_18h"", ""points"": 4, ""evidence"": ""AIS reporting gap of 21.8 hours""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",EMODnet cable pcablesnve.892,5.2,barentswatch,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0244,2026-07-15,16:48:18+00:00,Gulf of Finland,60.467975,28.052612,SARASWATI,613411502,9383869,tanker,pipeline_proximity,5,"[{""rule_id"": ""infra_proximity_1km"", ""points"": 3, ""evidence"": ""0.5 km from pipeline NORD STREAM 1""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",NORD STREAM 1,0.5,digitraffic,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0245,2026-07-15,16:48:18+00:00,Gulf of Finland,60.467975,28.052612,SARASWATI,613411502,9383869,tanker,sensitive_area_repeat_presence,5,"[{""rule_id"": ""infra_proximity_1km"", ""points"": 3, ""evidence"": ""0.5 km from pipeline NORD STREAM 1""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",NORD STREAM 1,0.5,digitraffic,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0234,2026-07-15,16:47:04+00:00,Gulf of Finland,59.914333,28.663452,CARMA,461000252,9341081,tanker,ais_gap,6,"[{""rule_id"": ""ais_gap_6h"", ""points"": 2, ""evidence"": ""AIS reporting gap of 17.8 hours""}, {""rule_id"": ""zigzag_or_anchor_drag_proxy"", ""points"": 2, ""evidence"": ""Repeated large course changes in stored AIS positions""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",NORD STREAM 1,59.3,digitraffic,low,Automated research lead for human review; not a confirmed incident.
